price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
34590.0,2016.0,chevrolet,silverado 1500 double,good,6 cylinders,gas,29499.0,clean,other,4wd,full-size,pickup,silver,al
16590.0,2013.0,lincoln,mkz sedan 4d,good,6 cylinders,gas,61087.0,clean,other,fwd,full-size,sedan,red,al
7800.0,2005.0,honda,accord ex-l,excellent,4 cylinders,gas,155000.0,clean,manual,4wd,full-size,sedan,white,al
27995.0,2012.0,ford,f250 super duty,good,6 cylinders,gas,47380.0,clean,automatic,4wd,full-size,sedan,white,al
500.0,2021.0,ford,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400.0,clean,other,4wd,full-size,bus,green,al
3850.0,2003.0,dodge,durango,good,8 cylinders,gas,215604.0,clean,automatic,rwd,full-size,SUV,blue,al
16990.0,2018.0,hyundai,sonata se sedan 4d,good,6 cylinders,gas,31871.0,clean,other,fwd,full-size,sedan,red,al
22795.0,2015.0,mercedes-benz,c-class,good,4 cylinders,gas,67870.0,clean,automatic,4wd,full-size,sedan,silver,al
16950.0,2007.0,jeep,wrangler,excellent,6 cylinders,gas,93482.68528761623,clean,automatic,4wd,full-size,sedan,red,al
22990.0,2012.0,ford,super duty f-250 srw,good,8 cylinders,gas,114733.0,clean,automatic,4wd,full-size,sedan,white,al
26990.0,2011.0,ford,super duty f-550 drw,good,8 cylinders,diesel,147797.0,clean,automatic,4wd,full-size,sedan,white,al
7980.0,2008.0,nissan,titan,good,8 cylinders,gas,200850.0,clean,automatic,rwd,full-size,pickup,white,al
29980.0,2016.0,infiniti,qx80,good,8 cylinders,gas,113427.0,clean,automatic,rwd,full-size,SUV,white,al
31995.0,2012.0,ford,f350 super duty,good,6 cylinders,gas,24692.0,clean,automatic,4wd,full-size,sedan,white,al
36990.0,2011.4057730593681,ford,des-Benz E-Class,good,4 cylinders,gas,30967.0,clean,other,rwd,full-size,sedan,silver,al
31590.0,2018.0,toyota,4runner sr5 sport utility,good,6 cylinders,gas,62496.0,clean,other,4wd,full-size,other,red,al
45306.0,2021.0,ford,explorer limited,good,6 cylinders,gas,5.0,clean,automatic,4wd,full-size,sedan,white,al
27636.0,2018.0,ford,explorer xlt,good,6 cylinders,gas,18022.0,clean,automatic,4wd,full-size,sedan,white,al
13500.0,2012.0,honda,odyssey,excellent,6 cylinders,gas,138258.0,clean,automatic,fwd,full-size,van,black,al
15590.0,2016.0,ford,Scion iM Hatchback 4D,good,6 cylinders,other,41036.0,clean,other,4wd,full-size,hatchback,blue,al
31995.0,2014.0,chevrolet,silverado 1500 2lt crew cab long box 4wd,good,6 cylinders,gas,66738.0,clean,automatic,4wd,full-size,pickup,white,al
65767.67399166214,2011.4057730593681,ford,lac Escalade,good,8 cylinders,gas,15629.0,clean,automatic,4wd,full-size,SUV,black,al
14655.0,2015.0,toyota,camry,good,4 cylinders,gas,133131.0,clean,automatic,fwd,full-size,sedan,white,al
6995.0,2007.0,toyota,highlander,good,4 cylinders,gas,251165.0,clean,automatic,fwd,full-size,SUV,blue,al
19989.0,2015.0,audi,q5,good,4 cylinders,gas,48837.0,clean,automatic,4wd,full-size,SUV,white,al
12477.0,2016.0,honda,hrv,excellent,4 cylinders,gas,74000.0,rebuilt,automatic,fwd,full-size,SUV,black,al
7499.0,2011.0,hyundai,elantra limited,excellent,4 cylinders,gas,178000.0,clean,automatic,fwd,mid-size,sedan,white,al
9600.0,2005.0,toyota,tundra,good,8 cylinders,gas,217000.0,clean,automatic,rwd,mid-size,pickup,white,al
18995.0,2015.0,ford,f-250 sd,good,8 cylinders,gas,178397.0,clean,automatic,rwd,full-size,sedan,white,al
27989.0,2019.0,toyota,rav4,good,4 cylinders,gas,28169.0,clean,automatic,fwd,mid-size,SUV,white,al
32570.0,2018.0,jeep,grand cherokee,good,6 cylinders,gas,40794.0,clean,automatic,4wd,mid-size,SUV,white,al
